Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue,Administrative_buckets,AdministrativeDuration_buckets,Informational_buckets,InformationalDuration_buckets,ProductRelated_buckets,ProductRelatedDuration_buckets,BounceRates_buckets,ExitRates_buckets,PageValues_buckets,SpecialDay_buckets
Feb,1,1,1,1,Returning_Visitor,False,False,VeryLow,VeryLow,VeryLow,Low,VeryLow,VeryLow,VeryHigh,VeryHigh,VeryLow,VeryLow
Feb,2,2,1,2,Returning_Visitor,False,False,VeryLow,VeryLow,VeryLow,Low,VeryLow,VeryLow,VeryLow,High,VeryLow,VeryLow
Feb,4,1,9,3,Returning_Visitor,False,False,VeryLow,VeryLow,VeryLow,Low,VeryLow,VeryLow,VeryHigh,VeryHigh,VeryLow,VeryLow
Feb,3,2,2,4,Returning_Visitor,False,False,VeryLow,VeryLow,VeryLow,Low,VeryLow,VeryLow,Medium,VeryHigh,VeryLow,VeryLow
Feb,3,3,1,4,Returning_Visitor,True,False,VeryLow,VeryLow,VeryLow,Low,VeryLow,VeryLow,Low,Medium,VeryLow,VeryLow
Feb,2,2,1,3,Returning_Visitor,False,False,VeryLow,VeryLow,VeryLow,Low,VeryLow,VeryLow,Low,Low,VeryLow,VeryLow
Feb,2,4,3,3,Returning_Visitor,False,False,VeryLow,VeryLow,VeryLow,Low,VeryLow,VeryLow,VeryHigh,VeryHigh,VeryLow,Medium
Feb,1,2,1,5,Returning_Visitor,True,False,VeryLow,VeryLow,VeryLow,Low,VeryLow,VeryLow,VeryHigh,VeryHigh,VeryLow,VeryLow
Feb,2,2,2,3,Returning_Visitor,False,False,VeryLow,VeryLow,VeryLow,Low,VeryLow,VeryLow,VeryLow,High,VeryLow,VeryHigh
Feb,2,4,1,2,Returning_Visitor,False,False,VeryLow,VeryLow,VeryLow,Low,VeryLow,VeryLow,VeryLow,Low,VeryLow,Medium
Feb,1,1,3,3,Returning_Visitor,False,False,VeryLow,VeryLow,VeryLow,Low,VeryLow,VeryLow,VeryLow,High,VeryLow,VeryLow
